向阳素描×365 特别篇,7.7,(575人评分)
春之觉醒,8.0,(76人评分)
凡尔赛玫瑰,7.8,(169人评分)
蜡笔小新 呼风唤雨！战国大合战,7.7,(347人评分)
命运石之门 负荷领域的既视感,7.7,(5744人评分)
我的邻居山田君,7.7,(537人评分)
萤火虫之墓,7.7,(2557人评分)
终物语,7.7,(3516人评分)
美妙天堂,7.8,(184人评分)
猫物语（黑）,7.7,(5040人评分)
日常 OAD,7.7,(1494人评分)
鲁邦三世 ～名为峰不二子的女人～,7.7,(1428人评分)
×××HOLiC 春梦记,7.7,(1123人评分)
高智能方程式：ZERO,7.7,(363人评分)
NHK15个动画短片,7.7,(1489人评分)
来来猫,7.7,(267人评分)
向山进发 第三季,7.7,(1319人评分)
星界的战旗III,7.8,(226人评分)
银河英雄传说 我的征途是星辰大海,7.8,(182人评分)
此时此刻的我,7.7,(941人评分)
小魔女学园,7.6,(5072人评分)
心灵奇旅,7.7,(818人评分)
摸索吧！部活剧 再来一个,7.7,(701人评分)
银河英雄传说外传 螺旋迷宫,7.8,(128人评分)
剧场版 Fate/stay night [Heaven's Feel] I.presage flower,7.7,(4897人评分)
城市猎人,7.7,(350人评分)
小魔女学园,7.6,(2561人评分)
花田少年史,7.7,(293人评分)
剑风传奇 黄金时代篇I 霸王之卵,7.7,(1259人评分)
Love Live! 虹咲学园校园偶像同好会,7.6,(1649人评分)
不可思议的教室,7.7,(836人评分)
约定的梦幻岛,7.6,(4841人评分)
兽爪,7.7,(672人评分)
翼神传说,7.6,(1101人评分)
POKÉTOON,7.9,(75人评分)
小魔女学园 魔法游行,7.6,(2147人评分)
银翼杀手：2022大断电,7.7,(1062人评分)
擅长捉弄的高木同学 第二季,7.6,(2458人评分)
犬夜叉,7.6,(2720人评分)
甜梦猫,7.7,(235人评分)
荒川爆笑团2,7.6,(3535人评分)
昭和元禄落语心中 OAD,7.7,(564人评分)
传说巨神伊迪安,7.7,(233人评分)
数码宝贝大冒险 滚球兽的诞生,7.7,(867人评分)
幸福小镇 春岛篇,7.9,(89人评分)
恶魔阿萨谢尔在召唤你,7.6,(3295人评分)
少年正义联盟 第一季,7.8,(111人评分)
父与女,7.7,(246人评分)
幻想嘉年华,7.6,(4450人评分)
DARKER THAN BLACK -黑之契约者- 外传,7.6,(2900人评分)
魔法使光之美少女！,7.7,(284人评分)
雾山五行,7.6,(1504人评分)
向阳素描×☆☆☆ 特别篇,7.7,(474人评分)
南方公园 第18季,7.7,(197人评分)
灌篮高手 全国制霸吧！樱木花道,7.7,(380人评分)
变形金刚,7.7,(203人评分)
头脑特工队,7.7,(950人评分)
牧笛,8.0,(62人评分)
迷糊餐厅 第二季,7.6,(4040人评分)
高智能方程式：SAGA,7.7,(342人评分)
